TimeStamp,Temperature(degC),Wind Speed(kt),Wind Gust Speed(kt),Wind Direction,Pressure(mb),Latitude,Longitude
2022-03-19 17:40:00,17.5,14.4,19.7,8.1,1017.7,26.525640000000003,-18.61146
2022-03-19 17:30:00,17.6,14.0,19.6,12.3,1017.6,26.5271,-18.61181
2022-03-19 17:20:00,17.7,13.9,17.9,8.6,1016.8,26.52819,-18.61218
2022-03-19 17:10:00,17.7,13.6,17.8,15.9,1016.0,26.5293,-18.61272
2022-03-19 17:00:00,17.7,10.4,18.2,3.8,1016.4,26.53026,-18.61323
2022-03-19 16:50:00,17.9,7.2,11.1,356.5,1017.0,26.53113,-18.61402
2022-03-19 16:40:00,18.4,7.3,11.1,355.1,1017.0,26.53197,-18.61493
2022-03-19 16:30:00,18.8,6.5,9.1,352.4,1017.1,26.53313,-18.6166
2022-03-19 16:20:00,19.0,6.0,9.7,351.8,1017.4,26.53427000000001,-18.61941
2022-03-19 16:10:00,18.6,5.8,9.4,339.3,1017.9,26.53542,-18.62233
2022-03-19 16:00:00,18.5,5.6,8.7,339.1,1017.9,26.53658,-18.62498
2022-03-19 15:50:00,18.5,6.3,10.4,350.8,1017.9,26.53768,-18.62769
2022-03-19 15:40:00,18.3,6.1,10.9,12.5,1017.8,26.53874,-18.63054
2022-03-19 15:30:00,18.3,6.8,10.6,23.4,1017.8,26.53972000000001,-18.63325
2022-03-19 15:20:00,18.0,8.8,12.6,33.5,1017.2,26.54078,-18.63586
2022-03-19 15:10:00,18.1,10.2,14.1,37.3,1017.4,26.54189,-18.63817
2022-03-19 15:00:00,18.1,9.6,13.5,35.6,1018.0,26.54292,-18.64033
2022-03-19 14:50:00,17.8,10.9,14.9,27.5,1017.9,26.54386,-18.6429
2022-03-19 14:40:00,17.8,11.7,16.5,13.3,1017.9,26.54485,-18.64552
2022-03-19 14:30:00,17.8,11.0,15.4,8.3,1018.3,26.54583,-18.6482
2022-03-19 14:20:00,17.8,12.9,16.6,4.9,1018.2,26.5468,-18.65104
2022-03-19 14:10:00,18.1,13.5,18.1,6.3,1018.8,26.54777,-18.65399
2022-03-19 14:00:00,17.7,12.7,17.9,9.8,1019.2,26.54873,-18.6568
2022-03-19 13:50:00,17.3,15.2,19.9,14.8,1019.1,26.54956,-18.65979
2022-03-19 13:40:00,17.5,16.4,22.8,17.7,1019.0,26.55036,-18.66225
2022-03-19 13:30:00,18.1,14.0,19.9,17.8,1018.8,26.55102,-18.66482
2022-03-19 13:20:00,18.4,11.0,15.4,12.8,1018.9,26.55162,-18.6673
2022-03-19 13:10:00,18.5,10.0,16.2,17.4,1018.9,26.55205,-18.66972
2022-03-19 13:00:00,18.4,10.7,15.8,21.8,1019.2,26.5525,-18.6721
2022-03-19 12:50:00,18.5,9.8,14.4,20.4,1019.4,26.5531,-18.67442
2022-03-19 12:40:00,18.5,10.4,15.1,20.0,1019.3,26.55363,-18.67662
2022-03-19 12:30:00,18.6,11.2,16.4,16.8,1019.1,26.55409,-18.67877
2022-03-19 12:20:00,18.6,10.6,15.0,22.1,1019.2,26.55456,-18.6808
2022-03-19 12:10:00,18.6,10.3,14.4,19.7,1019.2,26.5552,-18.68285
2022-03-19 12:00:00,18.5,10.4,14.2,21.7,1019.1,26.55566,-18.68485
2022-03-19 11:50:00,18.5,10.9,16.1,18.0,1019.7,26.55599,-18.68707
2022-03-19 11:40:00,18.3,10.6,14.9,21.1,1020.0,26.55647,-18.68916
2022-03-19 11:30:00,17.9,9.8,14.2,19.0,1019.9,26.55709,-18.69086
2022-03-19 11:20:00,17.6,8.6,12.5,354.2,1019.6,26.55752,-18.69312
2022-03-19 11:10:00,17.3,9.4,13.6,339.1,1019.3,26.55781,-18.69561
2022-03-19 11:00:00,17.2,11.1,16.5,343.1,1019.0,26.558190000000003,-18.69817
