TimeStamp,Distance Over Ground(m),Lat (deg),Lon (deg)
2022-03-21 12:32:00,10285,27.65046,-15.63781
2022-03-21 12:25:00,13,27.992390000000004,-15.36859
2022-03-21 08:32:00,51,28.13896,-15.42145
2022-03-21 07:32:00,10540,28.13897,-15.42148
2022-03-21 06:32:00,10203,28.06524000000001,-15.36266
2022-03-21 05:32:00,9640,27.97928,-15.32601
2022-03-21 04:32:00,11181,27.89326,-15.32397
2022-03-21 03:32:00,11217,27.80131,-15.36813
2022-03-21 02:32:00,10385,27.73048,-15.44851
2022-03-21 01:32:00,10472,27.68238,-15.537770000000002
2022-03-20 12:32:00,11441,27.24788,-16.76756
2022-03-20 11:32:00,10991,27.620390000000004,-15.73687
2022-03-20 10:32:00,10365,27.57823,-15.8376
2022-03-20 09:32:00,9867,27.53883,-15.93293
2022-03-20 08:32:00,9252,27.50467,-16.02542
2022-03-20 07:32:00,9747,27.46981,-16.109270000000002
2022-03-20 06:32:00,9722,27.43431,-16.19989
2022-03-20 05:32:00,9903,27.4017,-16.29115
2022-03-20 04:32:00,9856,27.3656,-16.38286
2022-03-20 03:32:00,10008,27.33091,-16.47482
2022-03-20 02:32:00,9704,27.30319,-16.571189999999998
2022-03-20 01:32:00,10655,27.27547,-16.66447
2022-03-19 12:57:00,126,26.55267000000001,-18.67261
2022-03-19 12:52:00,127,26.55299,-18.67377
2022-03-19 12:47:00,105,26.55327,-18.67501
2022-03-19 12:42:00,117,26.55352,-18.67604
2022-03-19 12:37:00,116,26.55373,-18.67715
2022-03-19 12:36:00,131,26.67852,-18.8037
2022-03-19 12:32:00,113,26.554,-18.67826
2022-03-19 12:31:00,128,26.67951,-18.80441
2022-03-19 12:27:00,104,26.55421,-18.67935
2022-03-19 12:26:00,137,26.68041,-18.8052
2022-03-19 12:22:00,109,26.55442,-18.68034
2022-03-19 12:21:00,131,26.681390000000004,-18.80602
2022-03-19 12:17:00,104,26.5547,-18.68135
2022-03-19 12:16:00,116,26.68239,-18.80673
2022-03-19 12:12:00,100,26.55498,-18.68232
2022-03-19 12:11:00,136,26.6832,-18.80741
2022-03-19 12:07:00,111,26.55532,-18.68323
2022-03-19 12:06:00,124,26.68418,-18.80822
2022-03-19 12:02:00,114,26.55558,-18.68429
2022-03-19 12:01:00,134,26.68499000000001,-18.80903
2022-03-19 11:57:00,118,26.5558,-18.6854
2022-03-19 11:52:00,99,26.55593,-18.68657
2022-03-19 11:47:00,122,26.55611,-18.68753
2022-03-19 11:42:00,108,26.55633,-18.68859
2022-03-19 11:37:00,92,26.55654,-18.68949
2022-03-19 11:32:00,11486,26.7509,-18.06975
2022-03-19 11:27:00,119,26.55718,-18.69132
2022-03-19 11:22:00,135,26.55738,-18.69243
2022-03-19 11:17:00,122,26.5576,-18.69372000000001
2022-03-19 11:12:00,146,26.55775,-18.69496
2022-03-19 11:07:00,126,26.55787,-18.69628
2022-03-19 11:02:00,128,26.55807,-18.69752
2022-03-19 10:57:00,130,26.55834,-18.69875
2022-03-19 10:52:00,125,26.55857,-18.69997
2022-03-19 10:47:00,116,26.55891,-18.70116
2022-03-19 10:42:00,119,26.55934,-18.70223
2022-03-19 10:37:00,126,26.55987,-18.70322
2022-03-19 10:32:00,11589,26.70852,-18.17508
2022-03-19 10:27:00,126,26.5609,-18.70546
2022-03-19 10:22:00,125,26.56141,-18.70654
2022-03-19 10:17:00,124,26.56191,-18.7076
2022-03-19 10:12:00,129,26.5623,-18.70873
2022-03-19 10:07:00,126,26.56276,-18.70991
2022-03-19 10:02:00,130,26.56327000000001,-18.71099
2022-03-19 09:57:00,135,26.56393,-18.71198
2022-03-19 09:52:00,126,26.56453,-18.71307
2022-03-19 09:47:00,130,26.56517,-18.71411
2022-03-19 09:42:00,126,26.56592,-18.71512
2022-03-19 09:37:00,131,26.56666,-18.716
2022-03-19 09:32:00,11508,26.6642,-18.28086
2022-03-19 09:27:00,121,26.56842,-18.71753
2022-03-19 09:22:00,131,26.56927,-18.71827
2022-03-19 09:17:00,132,26.57027,-18.71898
2022-03-19 09:12:00,138,26.57121,-18.71971
2022-03-19 09:07:00,143,26.57224,-18.72047
2022-03-19 09:02:00,140,26.57331,-18.72131
2022-03-19 08:57:00,155,26.57432,-18.72212
2022-03-19 08:52:00,156,26.57539,-18.72305
2022-03-19 08:47:00,152,26.57658,-18.72383
2022-03-19 08:42:00,150,26.5777,-18.72469
2022-03-19 08:37:00,152,26.57888,-18.72541
